"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","birthstate","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","health","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","study","works","head","wife"
"2",1,0,1,12,8,10,1955,24,3020,38,64401.609375,5749,3,1,106709.1875,11,3,11,9,0,80.5,0,0,0,2,24,0,1,1,0
"3",0,0,1,11,9,10,1952,24,1840,41,8048.39013671875,5748,0,NA,38636.78125,15,3,11,9,0,80.5,0,0,0,2,24,0,1,NA,1
"4",1,0,1,4,10,10,1950,NA,NA,43,NA,5750,0,0,32203.220703125,NA,NA,11,9,0,80.5,0,0,0,2,24,0,1,NA,0
"5",1,0,1,12,5,10,1962,24,1960,31,31485.16015625,5745,4,1,51138.4296875,4,1,11,9,0,80.5,0,0,0,2,24,0,1,1,0
"6",1,0,1,12,4,10,1958,24,2500,36,19318.390625,5744,3,1,21733.390625,9,3,11,9,0,80.5,0,0,0,2,24,0,1,1,0
"7",1,0,1,12,5,10,1959,24,2120,34,21250.390625,5743,3,1,31715.390625,7,3,11,9,0,80.5,0,0,0,2,24,0,1,1,0
"8",0,0,1,13,9,10,1953,24,988,40,6438.39013671875,5746,1,1,78400.5625,13,2,11,9,0,80.5,0,0,0,3,9,0,0,NA,1
"9",1,0,1,12,10,10,1956,24,3289,37,77278.390625,5747,3,1,118009.78125,10,2,11,9,0,80.5,0,0,0,2,24,0,1,1,0
"10",0,0,1,14,10,10,1964,24,2250,29,19318.390625,5742,0,0,19318.390625,4,2,11,9,0,80.5,0,0,0,2,21,0,1,1,0
"11",1,1,0,16,10,9,1967,29,1680,26,35418.390625,12105,2,1,52779.01953125,5,3,NA,11,0,NA,NA,0,0,1,29,0,1,1,0
"12",1,1,0,12,5,9,1966,29,1920,28,22540,12104,0,0,22597.9609375,6,2,NA,11,0,NA,NA,0,0,1,29,0,1,1,0
"16",0,1,0,12,6,9,1962,29,1529,32,53128.390625,12101,1,1,103358.78125,13,2,NA,11,0,NA,NA,0,0,1,29,0,1,NA,1
"18",0,1,0,16,6,9,1953,29,0,40,0,12100,4,0,22755.740234375,NA,3,NA,11,0,NA,NA,0,0,1,29,0,0,NA,1
